distance matrix	population:	AFR___GWD	AFR___ACB	AFR___GWD	AFR___LWK	SAS___BEB	AFR___ACB	AMR___PUR	EAS___CDX	EAS___KHV	EAS___CHS
NEW__ENSG00000175426___PCSK1__dist_max___BOOT70	1.0211497811926307	0.9783883397554013	1.0520793541650733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT71	1.0153449302202513	0.9715801632331835	1.0449339648647955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT72	1.0056160938809708	0.9662309095908205	1.031440940012367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT73	1.001120468760044	0.9611857250132323	1.0248167360755933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT74	0.9945066888874785	0.9465848750090912	1.025978865874035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT75	0.9908861030942558	0.9433470753420554	1.0201151467765992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT76	0.985875108542814	0.939254432561323	1.014419989491504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT77	0.9876477140221708	0.9353472910713239	1.021950938615684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT78	0.9932399049677125	0.9316991771678456	1.0361741820994657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT79	0.9919176623784244	0.9279767050366255	1.037680573795331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT80	0.9862963505789232	0.9243397011367597	1.0329511780961766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT81	0.9735684731344567	0.9114979487748086	1.0211197296674583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT82	0.9814400313689595	0.9190788176260488	1.0281159294719036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT83	0.9839538957003207	0.9162598898184925	1.0349348246842798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT84	0.9826425717544026	0.9185267618293489	1.029594292227802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT85	0.9782622399249852	0.9128258097155322	1.0233702337023352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT86	0.9731979833764806	0.9095383075447301	1.017895593583547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT87	0.9806210204568714	0.9132563472225089	1.0306803476630546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT88	0.9794075336991834	0.9078268304848377	1.0314881264363165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT89	0.9830434798971794	0.9148334222687591	1.0338972894153349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT90	0.9756402004591053	0.910366205019174	1.0215621453594497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT91	0.9644379470771028	0.9001267203017708	1.0110658579702485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT92	0.9715472005705833	0.9117136343793948	1.0120435345744154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT93	0.9666155606901456	0.9137063635316247	1.0009655554811991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT94	0.9707503828483909	0.910769464806944	1.0130108534173585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT95	0.9747996306295498	0.9079659851773718	1.023853863502371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT96	0.9761785172395738	0.9048115596603599	1.0291357475704754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT97	0.9783827545373243	0.91202932049027	1.0241816600283826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT98	0.9773161389085353	0.914002225181023	1.0179320318148928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT99	0.9670002535711252	0.9045569003330348	1.0069289846131815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT100	0.960506811132042	0.902044498432461	0.99616126236091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
